"country_code","country_name","population","sexually_active_population","isEU"
"AT","Austria",4494009,3015960,1
"BE","Belgium",5773537,3745941,1
"BG","Bulgaria",3289009,2193210,1
"CY","Cyprus",677574,477642,1
"CZ","Czechia",5330178,3524664,1
"DE","Germany",41745822,27179015,1
"DK","Denmark",2956523,1906644,1
"EE","Estonia",649359,436241,1
"EL","Greece",4961174,3203170,1
"ES","Spain",23524400,15937831,1
"FI","Finland",2767995,1756208,1
"FR","France",32202261,20241602,1
"HR","Croatia",1878671,1232230,1
"HU","Hungary",4648053,3152726,1
"IE","Ireland",2572562,1687243,1
"IS","Iceland",198405,133633,0
"IT","Italy",29062428,19012135,1
"LI","Liechtenstein",19641,12925,0
"LT","Lithuania",1345781,933825,1
"LU","Luxembourg",334648,234960,1
"LV","Latvia",871881,583665,1
"MT","Malta",276547,191580,1
"NL","Netherlands",8986229,5885359,1
"NO","Norway",2780895,1832006,0
"PL","Poland",18784663,12728582,1
"PT","Portugal",4968761,3204444,1
"RO","Romania",9260228,6207334,1
"SE","Sweden",5313502,3362728,1
"SI","Slovenia",1063715,703817,1
"SK","Slovakia",2694189,1842540,1
